frame,scenario,is_burst_frame,particles_alive,resource_blobs_alive,linear_used_bytes,linear_peak_bytes,stack_used_bytes,stack_peak_bytes,pool_capacity,pool_free_slots,free_list_used_bytes,free_list_peak_bytes,free_list_total_free_bytes,free_list_largest_free_block,free_list_free_block_count,free_list_fragmentation_ratio,allocation_failures_this_frame,allocation_failures_total
153,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4172720,4277906,4215888,3672300,845,0.128938,0,0
154,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4176207,4277906,4212401,3672300,849,0.128217,0,0
155,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4174452,4277906,4214156,3672300,848,0.12858,0,0
156,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4177556,4277906,4211052,3672300,848,0.127938,0,0
157,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4196185,4277906,4192423,3672300,849,0.124063,0,0
158,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4185052,4277906,4203556,3672300,846,0.126383,0,0
159,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4180896,4277906,4207712,3672300,847,0.127245,0,0
160,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4172945,4277906,4215663,3672300,845,0.128891,0,0
161,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4169274,4277906,4219334,3672300,845,0.129649,0,0
162,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4168548,4277906,4220060,3672300,846,0.129799,0,0
163,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4180053,4277906,4208555,3672300,847,0.12742,0,0
164,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4182092,4277906,4206516,3672300,846,0.126997,0,0
165,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4186400,4277906,4202208,3672300,850,0.126102,0,0
166,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4188451,4277906,4200157,3672300,855,0.125676,0,0
167,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4190333,4277906,4198275,3672300,855,0.125284,0,0
168,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4195783,4277906,4192825,3672300,857,0.124147,0,0
169,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4200929,4277906,4187679,3672300,859,0.12307,0,0
170,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4201341,4277906,4187267,3672300,860,0.122984,0,0
171,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4196884,4277906,4191724,3672300,862,0.123917,0,0
172,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4182508,4277906,4206100,3672300,870,0.126911,0,0
173,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4181837,4277906,4206771,3672300,867,0.12705,0,0
174,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4176770,4277906,4211838,3672300,871,0.1281,0,0
175,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4168911,4277906,4219697,3672300,865,0.129724,0,0
176,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4173586,4277906,4215022,3672300,867,0.128759,0,0
177,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4171164,4277906,4217444,3672300,871,0.129259,0,0
178,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4167281,4277906,4221327,3672300,870,0.13006,0,0
179,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4181951,4277906,4206657,3672300,874,0.127027,0,0
180,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4176956,4277906,4211652,3672300,869,0.128062,0,0
181,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4177702,4277906,4210906,3672300,869,0.127907,0,0
182,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4175416,4277906,4213192,3672300,870,0.128381,0,0
183,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4178759,4277906,4209849,3672300,870,0.127688,0,0
184,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4187987,4277906,4200621,3672300,873,0.125772,0,0
185,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4189770,4277906,4198838,3672300,873,0.125401,0,0
186,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4196859,4277906,4191749,3672300,875,0.123922,0,0
187,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4191352,4277906,4197256,3672300,874,0.125071,0,0
188,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4202939,4277906,4185669,3672300,874,0.122649,0,0
189,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4169052,4277906,4219556,3672300,872,0.129695,0,0
190,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4167665,4277906,4220943,3672300,873,0.129981,0,0
191,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4156186,4277906,4232422,3672300,872,0.132341,0,0
192,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4143904,4277906,4244704,3672300,879,0.134851,0,0
193,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4136879,4277906,4251729,3672300,880,0.136281,0,0
194,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4159093,4277906,4229515,3672300,879,0.131744,0,0
195,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4152554,4277906,4236054,3672300,871,0.133085,0,0
196,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4156600,4277906,4232008,3672300,870,0.132256,0,0
197,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4148122,4277906,4240486,3672300,873,0.133991,0,0
198,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4149303,4277906,4239305,3672300,873,0.13375,0,0
199,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4140020,4277906,4248588,3672300,875,0.135642,0,0
200,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4133138,4277906,4255470,3672300,877,0.13704,0,0
201,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4147187,4277906,4241421,3672300,877,0.134182,0,0
202,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4150980,4277906,4237628,3672300,879,0.133407,0,0
203,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4144745,4277906,4243863,3672300,878,0.13468,0,0
204,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4144198,4277906,4244410,3672300,881,0.134791,0,0
205,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4147113,4277906,4241495,3672300,885,0.134197,0,0
206,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4144906,4277906,4243702,3672300,880,0.134647,0,0
207,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4140183,4277906,4248425,3672300,884,0.135609,0,0
208,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4148770,4277906,4239838,3672300,885,0.133858,0,0
209,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4143851,4277906,4244757,3672300,886,0.134862,0,0
210,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4134624,4277906,4253984,3672300,885,0.136739,0,0
211,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4131606,4277906,4257002,3672300,888,0.137351,0,0
212,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4137105,4277906,4251503,3672300,887,0.136235,0,0
213,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4128459,4277906,4260149,3672300,880,0.137988,0,0
214,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4124676,4277906,4263932,3672300,875,0.138753,0,0
215,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4116150,4277906,4272458,3672300,877,0.140471,0,0
216,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4127377,4277906,4261231,3672300,874,0.138207,0,0
217,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4134013,4277906,4254595,3672300,880,0.136863,0,0
218,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4140408,4277906,4248200,3672300,880,0.135563,0,0
219,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4138286,4277906,4250322,3672300,882,0.135995,0,0
