frame,scenario,is_burst_frame,particles_alive,resource_blobs_alive,linear_used_bytes,linear_peak_bytes,stack_used_bytes,stack_peak_bytes,pool_capacity,pool_free_slots,free_list_used_bytes,free_list_peak_bytes,free_list_total_free_bytes,free_list_largest_free_block,free_list_free_block_count,free_list_fragmentation_ratio,allocation_failures_this_frame,allocation_failures_total
169,steady,0,20000,1194,835168,835168,0,25652,50000,30000,670988,676819,7717620,7643412,444,0.0096154,0,0
170,steady,0,20000,1200,835168,835168,0,25652,50000,30000,673072,676819,7715536,7643412,445,0.00934789,0,0
171,steady,0,20000,1197,835168,835168,0,25652,50000,30000,670701,676819,7717907,7643412,445,0.00965223,0,0
172,steady,0,20000,1201,835168,835168,0,25652,50000,30000,673693,676819,7714915,7643412,443,0.00926815,0,0
173,steady,0,20000,1205,835168,835168,0,25652,50000,30000,677392,677392,7711216,7643412,442,0.00879291,0,0
174,steady,0,20000,1199,835168,835168,0,25652,50000,30000,672717,677392,7715891,7643412,442,0.00939347,0,0
175,steady,0,20000,1196,835168,835168,0,25652,50000,30000,674801,677392,7713807,7643412,445,0.00912584,0,0
176,steady,0,20000,1200,835168,835168,0,25652,50000,30000,678535,678535,7710073,7642420,442,0.00877463,0,0
177,steady,0,20000,1200,835168,835168,0,25652,50000,30000,677303,678535,7711305,7642420,439,0.00893299,0,0
178,steady,0,20000,1196,835168,835168,0,25652,50000,30000,672975,678535,7715633,7642420,438,0.00948892,0,0
179,steady,0,20000,1198,835168,835168,0,25652,50000,30000,675364,678535,7713244,7642420,441,0.00918213,0,0
180,steady,0,20000,1202,835168,835168,0,25652,50000,30000,679918,679918,7708690,7640364,445,0.0088635,0,0
181,steady,0,20000,1206,835168,835168,0,25652,50000,30000,683091,683091,7705517,7640364,443,0.00845537,0,0
182,steady,0,20000,1206,835168,835168,0,25652,50000,30000,682427,683091,7706181,7640364,446,0.00854081,0,0
183,steady,0,20000,1213,835168,835168,0,25652,50000,30000,688240,688240,7700368,7640364,447,0.00779235,0,0
184,steady,0,20000,1211,835168,835168,0,25652,50000,30000,684758,688240,7703850,7640364,450,0.00824081,0,0
