frame,scenario,is_burst_frame,particles_alive,resource_blobs_alive,linear_used_bytes,linear_peak_bytes,stack_used_bytes,stack_peak_bytes,pool_capacity,pool_free_slots,free_list_used_bytes,free_list_peak_bytes,free_list_total_free_bytes,free_list_largest_free_block,free_list_free_block_count,free_list_fragmentation_ratio,allocation_failures_this_frame,allocation_failures_total
205,burst,0,20000,1240,835168,835168,0,25652,50000,30000,1358252,1463047,7030356,6782897,558,0.0351986,0,0
206,burst,0,20000,1245,835168,835168,0,25652,50000,30000,1368480,1463047,7020128,6782897,557,0.033793,0,0
207,burst,0,20000,1242,835168,835168,0,25652,50000,30000,1359493,1463047,7029115,6782897,560,0.0350283,0,0
208,burst,0,20000,1240,835168,835168,0,25652,50000,30000,1348508,1463047,7040100,6782897,558,0.036534,0,0
209,burst,0,20000,1238,835168,835168,0,25652,50000,30000,1347955,1463047,7040653,6782897,554,0.0366097,0,0
210,burst,0,20000,1238,835168,835168,0,25652,50000,30000,1349567,1463047,7039041,6782897,550,0.036389,0,0
211,burst,0,20000,1230,835168,835168,0,25652,50000,30000,1337168,1463047,7051440,6782897,551,0.0380834,0,0
212,burst,0,20000,1224,835168,835168,0,25652,50000,30000,1332245,1463047,7056363,6782897,551,0.0387545,0,0
213,burst,0,20000,1229,835168,835168,0,25652,50000,30000,1329100,1463047,7059508,6782897,548,0.0391828,0,0
214,burst,0,20000,1226,835168,835168,0,25652,50000,30000,1323402,1463047,7065206,6782897,546,0.0399576,0,0
215,burst,0,20000,1220,835168,835168,0,25652,50000,30000,1320657,1463047,7067951,6782897,542,0.0403305,0,0
216,burst,0,20000,1220,835168,835168,0,25652,50000,30000,1317792,1463047,7070816,6782897,541,0.0407193,0,0
217,burst,0,20000,1229,835168,835168,0,25652,50000,30000,1327007,1463047,7061601,6782897,543,0.0394675,0,0
218,burst,0,20000,1235,835168,835168,0,25652,50000,30000,1331773,1463047,7056835,6782897,542,0.0388188,0,0
219,burst,0,20000,1230,835168,835168,0,25652,50000,30000,1325159,1463047,7063449,6782897,543,0.0397188,0,0
220,burst,0,20000,1226,835168,835168,0,25652,50000,30000,1329476,1463047,7059132,6782897,540,0.0391316,0,0
221,burst,0,20000,1228,835168,835168,0,25652,50000,30000,1331866,1463047,7056742,6782897,542,0.0388062,0,0
222,burst,0,20000,1229,835168,835168,0,25652,50000,30000,1337828,1463047,7050780,6782897,543,0.0379934,0,0
223,burst,0,20000,1222,835168,835168,0,25652,50000,30000,1330883,1463047,7057725,6782897,543,0.03894,0,0
224,burst,0,20000,1214,835168,835168,0,25652,50000,30000,1320592,1463047,7068016,6782897,541,0.0403393,0,0
225,burst,0,20000,1215,835168,835168,0,25652,50000,30000,1321520,1463047,7067088,6782897,537,0.0402133,0,0
226,burst,0,20000,1214,835168,835168,0,25652,50000,30000,1321489,1463047,7067119,6782897,533,0.0402175,0,0
